Document Number,Amount in local currency,Supplier,Document Type
110002379,-70.5,E001401,AB
Clearing Document 200008132,-193.52,,
110002481,-110.0,E001393,AB
110002482,-110.0,E001393,AB
110002486,-495.9,E001393,AB
Clearing Document 200008166,-715.9,,
110002366,-213.0,E001165,AB
110002442,-427.85,E001165,AB
Clearing Document 200008167,-640.85,,
110002443,-595.0,E000322,AB
110002444,-104.0,E000322,AB
110002455,-1553.9,E000322,AB
Clearing Document 200008168,-2252.9,,
110002493,-1190.04,E000558,AB
Clearing Document 200008375,-1190.04,,
110002495,-1041.8,E001392,AB
Clearing Document 200008376,-1041.8,,
110002522,-190.0,E000479,AB
Clearing Document 200008437,-190.0,,
110002500,-401.8,E000845,AB
110002501,-417.5,E000845,AB
110002502,-125.0,E000845,AB
110002503,-39.0,E000845,AB
Clearing Document 200008462,-983.3,,
110002519,-470.0,E001452,AB
Clearing Document 200008464,-470.0,,
110002520,-500.0,E001492,AB
Clearing Document 200008465,-500.0,,
110002531,-637.2,E000338,AB
110002532,-290.0,E000338,AB
Clearing Document 200008501,-927.2,,
110002535,-290.0,E001232,AB
Clearing Document 200008502,-290.0,,
110002533,-290.0,E001335,AB
Clearing Document 200008503,-290.0,,
110002536,-131.4,E001363,AB
Clearing Document 200008504,-131.4,,
110002534,-290.0,E001528,AB
Clearing Document 200008505,-290.0,,
110002528,-205.0,E001220,AB
Clearing Document 200008508,-205.0,,
110002446,-156.0,E000164,AB
Clearing Document 200008509,-156.0,,
110002506,-367.98,E000466,AB
110002507,-265.7,E000466,AB
Clearing Document 200008517,-633.68,,
110002549,-1027.59,E000319,AB
Clearing Document 200008574,-1027.59,,
110002513,-762.4,E000334,AB
Clearing Document 200008575,-762.4,,
110002544,-82.5,E000719,AB
Clearing Document 200008576,-82.5,,
110002550,-526.0,E000783,AB
Clearing Document 200008577,-526.0,,
110002546,-51.0,E001057,AB
110002547,-17.0,E001057,AB
110002548,-11.9,E001057,AB
Clearing Document 200008578,-79.9,,
110002540,-110.03,E001075,AB
110002541,-1316.49,E001075,AB
Clearing Document 200008579,-1426.52,,
110002508,-594.57,E001142,AB
Clearing Document 200008580,-594.57,,
110002551,-87.17,E001271,AB
110002552,-106.89,E001271,AB
110002553,-360.18,E001271,AB
Clearing Document 200008581,-554.24,,
110002458,-1120.0,E000032,AB
Clearing Document 200008582,-1120.0,,
110002398,-171.56,E000280,AB
110002448,-115.0,E000280,AB
110002449,-573.5,E000280,AB
Clearing Document 200008583,-860.06,,
110002400,-124.7,E000651,AB
110002554,-942.4,E000651,AB
Clearing Document 200008584,-1067.1,,
110002488,-134.75,E000659,AB
Clearing Document 200008585,-134.75,,
110002430,-889.5,E000916,AB
Clearing Document 200008586,-889.5,,
110002453,-40.3,E001045,AB
110002454,-32.6,E001045,AB
Clearing Document 200008587,-72.9,,
110002421,-115.53,E001381,AB
Clearing Document 200008588,-115.53,,
110002450,-161.38,E001407,AB
110002451,-224.02,E001407,AB
Clearing Document 200008589,-385.4,,
110002505,-210.05,E001424,AB
Clearing Document 200008590,-210.05,,
110002452,-98.2,E001461,AB
Clearing Document 200008591,-98.2,,
110002439,-141.9,E001522,AB
Clearing Document 200008592,-141.9,,
110002556,-414.65,E001156,AB
Clearing Document 200008612,-414.65,,
110002572,-580.5,E001247,AB
Clearing Document 200008613,-580.5,,
110002514,-200.0,E001409,AB
Clearing Document 200008616,-200.0,,
110002529,-724.34,E001228,AB
Clearing Document 200008627,-724.34,,
110002542,-290.0,E000491,AB
Clearing Document 200008647,-290.0,,
110002545,-290.0,E001343,AB
Clearing Document 200008648,-290.0,,
110002543,-63.0,E001442,AB
Clearing Document 200008649,-63.0,,
110002587,-61.6,E001075,AB
Clearing Document 200008725,-61.6,,
110001234,-402.0,E001305,AB
Clearing Document 200008731,-402.0,,
110002589,-60.0,E001538,AB
110002590,-402.0,E001538,AB
Clearing Document 200008776,-462.0,,
110002584,-757.12,E001516,AB
Clearing Document 200008784,-757.12,,
110002575,-96.5,E001082,AB
Clearing Document 200008786,-96.5,,
110002574,-205.0,E000967,AB
Clearing Document 200008788,-205.0,,
110002573,-232.5,E001404,AB
Clearing Document 200008789,-232.5,,
110002576,-181.24,E001523,AB
Clearing Document 200008790,-181.24,,
110002606,-270.0,E001373,AB
Clearing Document 200008887,-270.0,,
110002603,-45.0,E000439,AB
Clearing Document 200008913,-45.0,,
110002555,-136.0,E000996,AB
Clearing Document 200008914,-136.0,,
110001351,-375.7,E001085,AB
110002586,-10.7,E001085,AB
Clearing Document 200008915,-386.4,,
110002604,-54.55,E001369,AB
Clearing Document 200008916,-54.55,,
110002595,-82.88,E001417,AB
Clearing Document 200008917,-82.88,,
110002598,-164.04,E001441,AB
Clearing Document 200008918,-164.04,,
110002605,-45.69,E001512,AB
Clearing Document 200008919,-45.69,,
110002614,-1123.29,E000033,AB
Clearing Document 200008951,-1123.29,,
110002593,-154.79,E000680,AB
Clearing Document 200008959,-154.79,,
110002591,-146.8,E001023,AB
110002592,-495.46,E001023,AB
Clearing Document 200008960,-642.26,,
110002599,-257.0,E000296,AB
110002600,-120.0,E000296,AB
110002601,-222.0,E000296,AB
110002602,-120.0,E000296,AB
Clearing Document 200008980,-719.0,,
110002565,-914.88,E000128,AB
Clearing Document 200009014,-914.88,,
110002567,-130.0,E000444,AB
Clearing Document 200009015,-130.0,,
110002571,-65.0,E000629,AB
Clearing Document 200009016,-65.0,,
110002566,-65.0,E001117,AB
Clearing Document 200009017,-65.0,,
110002570,-130.0,E001444,AB
Clearing Document 200009018,-130.0,,
110002564,-120.0,E001493,AB
Clearing Document 200009019,-120.0,,
110002569,-130.0,E001503,AB
Clearing Document 200009020,-130.0,,
110002850,-240.0,E000263,AB
Clearing Document 200009035,-240.0,,
110002620,-88.66,E000177,AB
Clearing Document 200009043,-88.66,,
110002617,-144.0,E000334,AB
Clearing Document 200009044,-144.0,,
110002618,-21.0,E000815,AB
Clearing Document 200009045,-21.0,,
110002626,-160.0,E000889,AB
110002627,-56.8,E000889,AB
Clearing Document 200009046,-216.8,,
110002628,-227.5,E001081,AB
110002629,-551.24,E001081,AB
Clearing Document 200009047,-778.74,,
110002631,-178.5,E001108,AB
Clearing Document 200009048,-178.5,,
110002622,-121.5,E001142,AB
110002623,-41.32,E001142,AB
Clearing Document 200009049,-162.82,,
110002619,-14.0,E001365,AB
Clearing Document 200009050,-14.0,,
110002621,-66.0,E001371,AB
Clearing Document 200009051,-66.0,,
110002630,-34.2,E001421,AB
Clearing Document 200009052,-34.2,,
110002624,-93.6,E001424,AB
Clearing Document 200009053,-93.6,,
110002625,-98.1,E001461,AB
Clearing Document 200009054,-98.1,,
110002649,-190.9,E000413,AB
Clearing Document 200009091,-190.9,,
110002639,-282.0,E000923,AB
Clearing Document 200009094,-282.0,,
110002646,-370.4,E001118,AB
110002647,-500.0,E001118,AB
110002648,-258.0,E001118,AB
Clearing Document 200009096,-1128.4,,
110002870,-402.0,E001249,AB
110002871,-370.43,E001249,AB
Clearing Document 200009098,-772.43,,
110002869,-402.0,E000716,AB
Clearing Document 200009099,-402.0,,
110002866,-24.0,E001328,AB
Clearing Document 200009100,-24.0,,
110002865,-204.28,E001025,AB
Clearing Document 200009101,-204.28,,
110002863,-641.94,E000645,AB
110002864,-402.0,E000645,AB
Clearing Document 200009102,-1043.94,,
110002867,-402.0,E000722,AB
110002868,-384.0,E000722,AB
Clearing Document 200009103,-786.0,,
110002854,-32.3,E001440,AB
110002855,-42.5,E001440,AB
110002856,-402.0,E001440,AB
Clearing Document 200009104,-476.8,,
110002852,-402.0,E001227,AB
Clearing Document 200009105,-402.0,,
110002861,-362.43,E001300,AB
110002862,-402.0,E001300,AB
Clearing Document 200009106,-764.43,,
110002860,-138.8,E001305,AB
Clearing Document 200009107,-138.8,,
110002858,-402.0,E001229,AB
110002859,-478.0,E001229,AB
Clearing Document 200009108,-880.0,,
110002382,-109.5,E001409,AB
Clearing Document 200009163,-109.5,,
110002652,31.07,E000031,AB
110002653,-116.68,E000031,AB
Clearing Document 200009165,-85.61,,
110002847,-727.23,E000384,AB
Clearing Document 200009166,-727.23,,
110002650,-79.05,E000391,AB
Clearing Document 200009167,-79.05,,
110002851,-219.95,E000520,AB
Clearing Document 200009168,-219.95,,
110002654,-588.77,E000563,AB
110002656,-503.92,E000563,AB
110002841,-127.19,E000563,AB
110002842,-91.47,E000563,AB
110002843,-95.94,E000563,AB
110002844,-52.5,E000563,AB
Clearing Document 200009169,-1459.79,,
110002848,-77.6,E000583,AB
Clearing Document 200009170,-77.6,,
110002640,-85.65,E000659,AB
110002641,-169.52,E000659,AB
110002642,-96.59,E000659,AB
110002643,-75.11,E000659,AB
Clearing Document 200009171,-426.87,,
110002849,-128.6,E000739,AB
Clearing Document 200009172,-128.6,,
110002634,-250.39,E000971,AB
110002853,176.04,E000971,AB
Clearing Document 200009173,-74.35,,
110002845,-194.0,E001051,AB
Clearing Document 200009174,-194.0,,
110002644,-521.54,E001277,AB
110002645,-282.6,E001277,AB
Clearing Document 200009175,-804.14,,
110002857,-73.96,E001521,AB
Clearing Document 200009176,-73.96,,
110002879,-141.0,E000222,AB
Clearing Document 200009182,-141.0,,
110002655,-138.0,E000920,AB
Clearing Document 200009187,-138.0,,
110002880,-120.0,E000866,AB
Clearing Document 200009188,-120.0,,
110002872,-109.2,E001176,AB
Clearing Document 200009210,-109.2,,
110002876,-750.0,E001403,AB
Clearing Document 200009211,-750.0,,
110002874,-92.5,E000913,AB
110002875,-87.5,E000913,AB
Clearing Document 200009247,-180.0,,
110002873,-761.92,E000924,AB
Clearing Document 200009248,-761.92,,
110002913,-32.8,E001222,AB
Clearing Document 200009262,-32.8,,
110002914,-32.8,E001223,AB
Clearing Document 200009263,-32.8,,
110002915,-32.8,E001240,AB
Clearing Document 200009264,-32.8,,
110002912,-160.0,E001276,AB
Clearing Document 200009266,-160.0,,
110002920,-750.0,E001179,AB
Clearing Document 200009270,-750.0,,
110002939,-434.22,E000971,AB
Clearing Document 200009309,-434.22,,
110002406,-119.0,E001436,AB
110002408,-178.5,E001436,AB
110002409,-53.5,E001436,AB
110002410,-262.5,E001436,AB
110002411,-262.5,E001436,AB
110002412,-262.5,E001436,AB
110002918,-119.0,E001436,AB
Clearing Document 200009339,-1257.5,,
110002895,-526.5,E000212,AB
Clearing Document 200009348,-526.5,,
110002898,-986.5,E000268,AB
110002899,-94.3,E000268,AB
110002900,-87.98,E000268,AB
110002901,-63.66,E000268,AB
Clearing Document 200009349,-1232.44,,
110002904,-194.4,E000289,AB
110002905,-247.5,E000289,AB
110002907,-567.73,E000289,AB
Clearing Document 200009350,-1009.63,,
110002887,-665.0,E000397,AB
110002888,-62.0,E000397,AB
Clearing Document 200009351,-727.0,,
110002909,-1327.4,E000398,AB
110002910,-401.0,E000398,AB
110002911,-936.53,E000398,AB
Clearing Document 200009352,-2664.93,,
110002903,-320.0,E000648,AB
Clearing Document 200009353,-320.0,,
110002896,-681.58,E001045,AB
Clearing Document 200009354,-681.58,,
110002889,-82.58,E001076,AB
Clearing Document 200009355,-82.58,,
110002890,-94.32,E000659,AB
110002891,-102.18,E000659,AB
110002892,-73.54,E000659,AB
110002893,-356.21,E000659,AB
Clearing Document 200009378,-626.25,,
110002938,-233.51,E000276,AB
Clearing Document 200009379,-233.51,,
110002937,-23.8,E001138,AB
Clearing Document 200009380,-23.8,,
110002940,-434.38,E001284,AB
110002941,-448.2,E001284,AB
110002942,-831.64,E001284,AB
110002943,-268.0,E001284,AB
110002944,-669.17,E001284,AB
Clearing Document 200009381,-2651.39,,
110002945,-454.56,E001389,AB
Clearing Document 200009382,-454.56,,
110002932,-30.6,E000288,AB
Clearing Document 200009383,-30.6,,
110002935,-24.2,E000363,AB
Clearing Document 200009384,-24.2,,
110002936,-17.0,E000790,AB
Clearing Document 200009385,-17.0,,
110002929,-382.1,E001239,AB
Clearing Document 200009386,-382.1,,
110002930,-224.95,E001283,AB
Clearing Document 200009387,-224.95,,
110002924,-559.0,E001357,AB
Clearing Document 200009388,-559.0,,
110002931,-24.95,E001409,AB
Clearing Document 200009389,-24.95,,
110002934,-110.0,E001455,AB
Clearing Document 200009390,-110.0,,
110002933,-56.1,E001509,AB
Clearing Document 200009391,-56.1,,
110002948,-491.73,E000462,AB
110002949,-247.6,E000462,AB
110002950,-444.83,E000462,AB
110002951,-365.53,E000462,AB
Clearing Document 200009421,-1549.69,,
110002947,-141.9,E001124,AB
Clearing Document 200009422,-141.9,,
110002946,-53.9,E001239,AB
Clearing Document 200009423,-53.9,,
110002952,-138.5,E000396,AB
Clearing Document 200009424,-138.5,,
110002953,-138.5,E000729,AB
Clearing Document 200009425,-138.5,,
110002955,-262.6,E001217,AB
Clearing Document 200009426,-262.6,,
110002954,-954.28,E001238,AB
Clearing Document 200009427,-954.28,,
110002956,-219.83,E000407,AB
Clearing Document 200009428,-219.83,,
110002957,-257.8,E001242,AB
Clearing Document 200009429,-257.8,,
110002958,-261.39,E001302,AB
Clearing Document 200009430,-261.39,,
110002959,-260.0,E001308,AB
Clearing Document 200009431,-260.0,,
110002960,-365.67,E000396,AB
Clearing Document 200009446,-365.67,,
110002961,-277.63,E001217,AB
Clearing Document 200009447,-277.63,,
110002526,-324.58,E000626,AB
Clearing Document 200009449,-324.58,,
110002980,-1795.5,E001003,AB
Clearing Document 200009942,-1795.5,,
110002978,-400.0,E001377,AB
Clearing Document 200009943,-400.0,,
110002977,-350.0,E001409,AB
Clearing Document 200009944,-350.0,,
110002981,-230.0,E001417,AB
Clearing Document 200009945,-230.0,,
110002979,-350.0,E001483,AB
Clearing Document 200009946,-350.0,,
110002993,-88.5,E001153,AB
Clearing Document 200010320,-88.5,,
110002994,-748.0,E001295,AB
Clearing Document 200010321,-748.0,,
110002995,-467.5,E001307,AB
Clearing Document 200010322,-467.5,,
110003020,-225.5,E000229,AB
110003021,-280.3,E000229,AB
110003022,-232.5,E000229,AB
110003023,-37.3,E000229,AB
110003024,-517.5,E000229,AB
110003025,-245.0,E000229,AB
110003026,-386.08,E000229,AB
Clearing Document 200010325,-1924.18,,
110002972,-559.5,E000645,AB
Clearing Document 200010459,-559.5,,
110002971,-24.0,E000591,AB
Clearing Document 200010460,-24.0,,
110002970,-579.26,E001399,AB
Clearing Document 200010461,-579.26,,
110002568,580.5,E001247,AB
Clearing Document 200010519,580.5,,
110003010,-87.5,E000913,AB
Clearing Document 200010563,-87.5,,
110003033,-159.0,E001429,AB
Clearing Document 200010568,-159.0,,
110003028,-37.4,E001480,AB
110003029,-56.1,E001480,AB
110003030,-43.6,E001480,AB
110003031,-18.7,E001480,AB
110003032,-18.7,E001480,AB
Clearing Document 200010569,-174.5,,
110003062,-195.0,E000780,AB
Clearing Document 200010598,-195.0,,
110003074,-402.0,E000982,AB
Clearing Document 200010656,-402.0,,
110003080,-659.5,E001292,AB
Clearing Document 200010657,-659.5,,
110003076,-84.0,E001335,AB
Clearing Document 200010658,-84.0,,
110003075,-406.0,E001528,AB
Clearing Document 200010659,-406.0,,
110003095,-1275.0,E001364,AB
Clearing Document 200010670,-1275.0,,
110003084,-38.3,E000283,AB
Clearing Document 200010671,-38.3,,
110003085,-354.5,E000391,AB
Clearing Document 200010672,-354.5,,
110003067,-740.5,E000425,AB
Clearing Document 200010673,-740.5,,
110003068,-78.94,E001057,AB
110003069,-12.75,E001057,AB
Clearing Document 200010674,-91.69,,
110003098,-187.5,E000565,AB
110003099,-102.5,E000565,AB
110003100,-272.5,E000565,AB
Clearing Document 200010687,-562.5,,
110003087,-282.0,E000772,AB
110003088,-514.64,E000772,AB
110003089,-288.0,E000772,AB
Clearing Document 200010688,-1084.64,,
110003109,-54.88,E001077,AB
Clearing Document 200010744,-54.88,,
110003070,-96.5,E000913,AB
110003071,-96.5,E000913,AB
Clearing Document 200010796,-193.0,,
110003073,-17.5,E001156,AB
Clearing Document 200010797,-17.5,,
110003130,-759.0,E001220,AB
Clearing Document 200010801,-759.0,,
110003144,-300.0,E001221,AB
Clearing Document 200010823,-300.0,,
110003141,-300.0,E001222,AB
Clearing Document 200010824,-300.0,,
110003142,-500.0,E001228,AB
Clearing Document 200010825,-500.0,,
110003143,-400.0,E001240,AB
Clearing Document 200010826,-400.0,,
110003150,-40.0,E000714,AB
Clearing Document 200010846,-40.0,,
110003151,-40.0,E001123,AB
Clearing Document 200010847,-40.0,,
110003152,-22.5,E001150,AB
Clearing Document 200010848,-22.5,,
110003153,-40.0,E001222,AB
Clearing Document 200010849,-40.0,,
110003154,-40.0,E001223,AB
Clearing Document 200010850,-40.0,,
110003155,-40.0,E001240,AB
Clearing Document 200010851,-40.0,,
110003156,-40.0,E001273,AB
Clearing Document 200010852,-40.0,,
110003121,-18.7,E000878,AB
110003122,-18.7,E000878,AB
110003123,-18.7,E000878,AB
110003124,-19.55,E000878,AB
110003125,-65.98,E000878,AB
110003126,-18.7,E000878,AB
Clearing Document 200010866,-160.33,,
110003119,-277.68,E001424,AB
Clearing Document 200010867,-277.68,,
110003120,-180.0,E001461,AB
Clearing Document 200010868,-180.0,,
110003127,-28.6,E001473,AB
Clearing Document 200010869,-28.6,,
110003132,-195.0,E000033,AB
Clearing Document 200010871,-195.0,,
110003131,-220.7,E001304,AB
Clearing Document 200010887,-220.7,,
110003128,-177.0,E001135,AB
Clearing Document 200010893,-177.0,,
110003149,-600.0,E001476,AB
Clearing Document 200010894,-600.0,,
110003165,-425.0,E001243,AB
Clearing Document 200010895,-425.0,,
110003072,-645.03,E000418,AB
Clearing Document 200010917,-645.03,,
110003181,-17.0,E000881,AB
Clearing Document 200010918,-17.0,,
110003180,-437.6,E001389,AB
Clearing Document 200010919,-437.6,,
110003171,-297.5,E001436,AB
110003172,-119.0,E001436,AB
110003173,-263.5,E001436,AB
110003174,-105.0,E001436,AB
110003175,-52.5,E001436,AB
110003176,-52.5,E001436,AB
110003177,-157.5,E001436,AB
110003178,-52.5,E001436,AB
110003179,-262.5,E001436,AB
Clearing Document 200010920,-1362.5,,
110003182,-250.0,E000690,AB
Clearing Document 200010921,-250.0,,
110003183,-800.0,E001262,AB
Clearing Document 200010922,-800.0,,
110003170,-534.02,E000267,AB
Clearing Document 200010923,-534.02,,
110003168,-44.2,E000963,AB
Clearing Document 200010924,-44.2,,
110003164,-192.76,E001560,AB
Clearing Document 200010925,-192.76,,
110003110,-15.35,E001394,AB
Clearing Document 200010956,-15.35,,
110003161,-406.0,E001502,AB
Clearing Document 200010969,-406.0,,
110003162,-402.0,E001526,AB
Clearing Document 200010970,-402.0,,
110003115,-27.5,E000675,AB
Clearing Document 200010985,-27.5,,
110003118,-658.4,E000809,AB
Clearing Document 200010987,-658.4,,
110002973,-17.5,E001507,AB
110002974,-302.75,E001507,AB
110003203,-550.0,E001507,AB
Clearing Document 200010993,-870.25,,
110003148,-177.8,E000503,AB
Clearing Document 200011137,-177.8,,
110003188,-660.0,E000845,AB
Clearing Document 200011138,-660.0,,
110003146,-115.0,E001157,AB
Clearing Document 200011139,-115.0,,
110003187,-115.0,E001160,AB
Clearing Document 200011140,-115.0,,
110003189,-600.0,E001177,AB
Clearing Document 200011142,-600.0,,
110003145,-115.0,E001494,AB
Clearing Document 200011145,-115.0,,
110003147,-115.0,E001555,AB
Clearing Document 200011146,-115.0,,
110003190,-600.0,E001555,AB
Clearing Document 200011147,-600.0,,
110003200,-96.5,E000913,AB
110003201,-96.5,E000913,AB
Clearing Document 200011165,-193.0,,
110003202,-208.15,E001518,AB
Clearing Document 200011166,-208.15,,
110003197,-813.3,E001287,AB
Clearing Document 200011181,-813.3,,
110003233,-102.0,E001518,AB
Clearing Document 200011183,-102.0,,
110003159,-140.8,E000285,AB
Clearing Document 200011186,-140.8,,
110003092,-64.6,E001199,AB
110003160,-120.0,E001199,AB
Clearing Document 200011187,-184.6,,
110003163,-120.0,E001405,AB
Clearing Document 200011188,-120.0,,
110003094,-140.0,E001419,AB
Clearing Document 200011189,-140.0,,
110003093,-100.0,E001508,AB
Clearing Document 200011190,-100.0,,
110003216,-300.0,E001295,AB
Clearing Document 200011192,-300.0,,
110003217,-400.0,E001307,AB
Clearing Document 200011193,-400.0,,
110003215,-400.0,E001425,AB
Clearing Document 200011194,-400.0,,
110003214,-432.0,E001540,AB
Clearing Document 200011195,-432.0,,
110003221,-600.0,E000696,AB
Clearing Document 200011234,-600.0,,
110003194,-645.0,E001223,AB
Clearing Document 200011239,-645.0,,
110003246,-402.0,E001236,AB
Clearing Document 200011276,-402.0,,
110003248,-390.0,E000567,AB
Clearing Document 200011285,-390.0,,
110003259,-427.0,E000491,AB
Clearing Document 200011287,-427.0,,
110003257,-419.0,E001232,AB
Clearing Document 200011288,-419.0,,
110003254,-419.0,E001343,AB
Clearing Document 200011289,-419.0,,
110003258,-419.0,E001388,AB
Clearing Document 200011290,-419.0,,
110003255,-419.0,E001505,AB
Clearing Document 200011291,-419.0,,
110003256,-419.0,E001528,AB
Clearing Document 200011292,-419.0,,
110003265,-350.0,E000093,AB
Clearing Document 200011293,-350.0,,
110003263,-419.0,E001346,AB
Clearing Document 200011294,-419.0,,
110003264,-419.0,E001502,AB
Clearing Document 200011295,-419.0,,
110003253,-419.0,E000338,AB
Clearing Document 200011299,-419.0,,
110003251,-419.0,E000982,AB
Clearing Document 200011300,-419.0,,
110003249,-419.0,E000983,AB
Clearing Document 200011301,-419.0,,
110003250,-419.0,E001292,AB
Clearing Document 200011302,-419.0,,
110003252,-419.0,E001442,AB
Clearing Document 200011303,-419.0,,
110003261,-419.0,E001105,AB
Clearing Document 200011304,-419.0,,
110003262,-419.0,E001335,AB
Clearing Document 200011305,-419.0,,
110003268,-800.0,E000186,AB
Clearing Document 200011313,-800.0,,
110003270,-524.2,E000306,AB
Clearing Document 200011314,-524.2,,
110003269,-600.0,E000679,AB
Clearing Document 200011315,-600.0,,
110003267,-800.0,E001015,AB
Clearing Document 200011316,-800.0,,
110003247,-590.0,E000744,AB
Clearing Document 200011329,-590.0,,
110003288,-216.0,E001512,AB
Clearing Document 200011388,-216.0,,
110003289,-300.0,E001531,AB
Clearing Document 200011389,-300.0,,
110003287,-510.0,E001520,AB
Clearing Document 200011390,-510.0,,
110003225,-359.5,E000572,AB
Clearing Document 200011391,-359.5,,
110003230,-347.02,E000649,AB
110003231,-156.0,E000649,AB
110003232,-266.01,E000649,AB
Clearing Document 200011392,-769.03,,
110003223,-946.27,E001342,AB
Clearing Document 200011393,-946.27,,
110003227,-167.02,E001417,AB
Clearing Document 200011394,-167.02,,
110003226,-28.06,E001483,AB
Clearing Document 200011395,-28.06,,
110003222,-79.0,E001511,AB
Clearing Document 200011396,-79.0,,
110003224,-95.02,E001529,AB
Clearing Document 200011397,-95.02,,
110003282,-74.5,E001276,AB
110003283,-17.5,E001276,AB
Clearing Document 200011400,-92.0,,
110003277,-262.0,E000411,AB
110003278,-819.25,E000411,AB
Clearing Document 200011401,-1081.25,,
110003276,-200.0,E000623,AB
Clearing Document 200011402,-200.0,,
110003298,-618.88,E000626,AB
Clearing Document 200011416,-618.88,,
110003229,-432.0,E000859,AB
Clearing Document 200011417,-432.0,,
110003228,-432.0,E000865,AB
Clearing Document 200011418,-432.0,,
110003299,-491.81,E001547,AB
Clearing Document 200011433,-491.81,,
110003300,-594.0,E000407,AB
Clearing Document 200011434,-594.0,,
110003318,-648.0,E001559,AB
Clearing Document 200011479,-648.0,,
110003317,-752.5,E001168,AB
Clearing Document 200011488,-752.5,,
110003316,-752.5,E001370,AB
Clearing Document 200011489,-752.5,,
110003320,-500.0,E000921,AB
Clearing Document 200011495,-500.0,,
110003315,-472.0,E000249,AB
Clearing Document 200011571,-472.0,,
110003309,-60.31,E000358,AB
110003310,-54.95,E000358,AB
110003311,-89.8,E000358,AB
110003312,-89.8,E000358,AB
110003313,-73.1,E000358,AB
110003314,-73.1,E000358,AB
Clearing Document 200011572,-441.06,,
110003293,-424.92,E000553,AB
Clearing Document 200011573,-424.92,,
110003274,-113.04,E000996,AB
110003290,-111.27,E000996,AB
Clearing Document 200011574,-224.31,,
110003305,-51.05,E001401,AB
Clearing Document 200011575,-51.05,,
110003291,-838.56,E001561,AB
Clearing Document 200011576,-838.56,,
110003294,-66.55,E000489,AB
110003295,-66.55,E000489,AB
110003296,-66.55,E000489,AB
110003297,-45.1,E000489,AB
Clearing Document 200011615,-244.75,,
110003325,-200.0,E000777,AB
Clearing Document 200011626,-200.0,,
110003347,-51.25,E000445,AB
Clearing Document 200011713,-51.25,,
110003326,-506.76,E000889,AB
Clearing Document 200011714,-506.76,,
110003338,-268.29,E000992,AB
110003343,-987.35,E000992,AB
Clearing Document 200011715,-1255.64,,
110003328,-119.5,E000996,AB
Clearing Document 200011716,-119.5,,
110003337,-405.0,E001145,AB
Clearing Document 200011717,-405.0,,
110003345,-145.19,E001262,AB
Clearing Document 200011718,-145.19,,
110003349,-54.55,E001369,AB
110003350,-83.24,E001369,AB
Clearing Document 200011719,-137.79,,
110003329,-3.04,E001501,AB
Clearing Document 200011720,-3.04,,
110003379,-268.0,E000557,AB
Clearing Document 200011721,-268.0,,
110003382,-21.0,E001261,AB
Clearing Document 200011722,-21.0,,
110003380,-144.0,E000232,AB
Clearing Document 200011723,-144.0,,
110003368,-250.0,E000633,AB
Clearing Document 200011724,-250.0,,
110003361,-346.0,E000321,AB
110003362,-285.0,E000321,AB
110003363,-173.0,E000321,AB
110003364,-155.0,E000321,AB
110003365,-99.0,E000321,AB
Clearing Document 200011726,-1058.0,,
110003370,-211.15,E001135,AB
Clearing Document 200011727,-211.15,,
110003388,-186.0,E000863,AB
Clearing Document 200011779,-186.0,,
110003381,-480.0,E000279,AB
Clearing Document 200011789,-480.0,,
110003272,-159.8,E000337,AB
110003273,-22.0,E000337,AB
Clearing Document 200011790,-181.8,,
110003234,-143.5,E000837,AB
110003235,-73.18,E000837,AB
Clearing Document 200011791,-216.68,,
110003236,-150.44,E001377,AB
Clearing Document 200011792,-150.44,,
110003378,-49.34,E000031,AB
Clearing Document 200011793,-49.34,,
110003369,-168.0,E000249,AB
Clearing Document 200011794,-168.0,,
110003374,-329.0,E000566,AB
110003375,-513.05,E000566,AB
Clearing Document 200011795,-842.05,,
110003376,-257.0,E000717,AB
110003377,-440.0,E000717,AB
Clearing Document 200011796,-697.0,,
110003372,-340.88,E000925,AB
Clearing Document 200011797,-340.88,,
110003371,-481.55,E001101,AB
Clearing Document 200011798,-481.55,,
110003373,-291.61,E001401,AB
Clearing Document 200011799,-291.61,,
110003394,-125.5,E000162,AB
Clearing Document 200011822,-125.5,,
110003395,-922.5,E001181,AB
Clearing Document 200011823,-922.5,,
110003401,-716.49,E001398,AB
Clearing Document 200011835,-716.49,,
110003400,-1206.02,E001399,AB
Clearing Document 200011836,-1206.02,,
110003402,-24.0,E001328,AB
Clearing Document 200011837,-24.0,,
110003387,-260.0,E001537,AB
110003389,60.0,E001537,AB
Clearing Document 200011842,-200.0,,
110003322,-220.7,E000770,AB
Clearing Document 200011884,-220.7,,
110003323,-248.7,E001168,AB
Clearing Document 200011887,-248.7,,
110003435,-66.0,E001304,AB
110003436,-106.0,E001304,AB
Clearing Document 200011921,-172.0,,
110003437,-769.5,E001387,AB
Clearing Document 200011922,-769.5,,
110003418,-76.5,E000358,AB
110003419,-282.75,E000358,AB
Clearing Document 200011934,-359.25,,
110003424,-222.0,E000445,AB
Clearing Document 200011935,-222.0,,
110003420,-199.9,E000571,AB
Clearing Document 200011936,-199.9,,
110003421,-36.3,E001357,AB
Clearing Document 200011937,-36.3,,
110003422,-70.52,E001369,AB
110003423,-202.0,E001369,AB
Clearing Document 200011938,-272.52,,
110003425,-68.85,E001461,AB
Clearing Document 200011939,-68.85,,
110003442,-700.0,E000280,AB
Clearing Document 200011940,-700.0,,
