Document Number,Amount in local currency,Supplier,Document Type
Clearing Document 110003883,945.0,,
110003886,630.0,E001093,AB
Clearing Document 110003886,630.0,,
110003887,980.0,E000624,AB
Clearing Document 110003887,980.0,,
110003986,23000.0,E000200,AB
Clearing Document 110003986,23000.0,,
110004082,-20.4,E001256,AB
110004083,20.4,E001256,AB
110004084,20.4,E001256,AB
110004084,-20.4,E001256,AB
Clearing Document 110004084,0.0,,
110004081,-76.8,E001256,AB
110004088,76.8,E001256,AB
110004089,76.8,E001256,AB
110004089,-76.8,E001256,AB
Clearing Document 110004089,0.0,,
110004138,545.2,E000885,AB
110004138,-545.2,E000885,AB
Clearing Document 110004138,0.0,,
110004145,850.0,E000413,AB
Clearing Document 110004145,850.0,,
110004236,-222.9,E000777,AB
110004239,222.9,E000777,AB
110004240,222.9,E000777,AB
110004240,-222.9,E000777,AB
Clearing Document 110004240,0.0,,
110004271,-110.5,E000032,AB
110004273,110.5,E000032,AB
110004274,110.5,E000032,AB
110004274,-110.5,E000032,AB
Clearing Document 110004274,0.0,,
110004346,1250.0,E000660,AB
Clearing Document 110004346,1250.0,,
110004395,-280.0,E001513,AB
110004396,280.0,E001513,AB
110004422,280.0,E001513,AB
110004422,-280.0,E001513,AB
Clearing Document 110004422,0.0,,
110004427,650.0,E001062,AB
Clearing Document 110004427,650.0,,
110004491,700.0,E001537,AB
Clearing Document 110004491,700.0,,
110004573,3000.0,E000707,AB
Clearing Document 110004573,3000.0,,
110004717,850.0,E000510,AB
Clearing Document 110004717,850.0,,
110004856,800.0,E000243,AB
Clearing Document 110004856,800.0,,
110004895,10200.0,E000379,AB
Clearing Document 110004895,10200.0,,
110004896,4400.0,E000379,AB
Clearing Document 110004896,4400.0,,
110004897,3700.0,E000379,AB
Clearing Document 110004897,3700.0,,
110005004,-86.06,E000177,AB
110005048,86.06,E000177,AB
110005049,86.06,E000177,AB
110005049,-86.06,E000177,AB
Clearing Document 110005049,0.0,,
110005205,800.0,E000243,AB
Clearing Document 110005205,800.0,,
110005285,-190.1,E001040,AB
110005286,190.1,E001040,AB
110005287,190.1,E001040,AB
110005287,-190.1,E001040,AB
Clearing Document 110005287,0.0,,
110005464,800.0,E000243,AB
Clearing Document 110005464,800.0,,
110005485,230.2,E001293,AB
Clearing Document 110005485,230.2,,
110003739,411.34,E001507,AB
110003739,-411.34,E001507,AB
110005513,-411.34,E001507,AB
110005513,411.34,E001507,AB
Clearing Document 110005513,0.0,,
110004418,411.34,E001507,AB
110004418,-411.34,E001507,AB
110005514,-411.34,E001507,AB
110005514,411.34,E001507,AB
Clearing Document 110005514,0.0,,
110005515,411.34,E001507,AB
110005515,-411.34,E001507,AB
Clearing Document 110005515,0.0,,
110005516,411.34,E001507,AB
110005516,-411.34,E001507,AB
Clearing Document 110005516,0.0,,
110005641,800.0,E000243,AB
Clearing Document 110005641,800.0,,
110005646,-280.87,E000296,AB
110005654,280.87,E000296,AB
110005655,280.87,E000296,AB
110005655,-280.87,E000296,AB
Clearing Document 110005655,0.0,,
110005678,850.0,E001399,AB
Clearing Document 110005678,850.0,,
110005709,850.0,E000737,AB
Clearing Document 110005709,850.0,,
110005768,650.0,E001398,AB
Clearing Document 110005768,650.0,,
110005769,1070.0,E000429,AB
Clearing Document 110005769,1070.0,,
110005465,-267.9,E001076,AB
110005830,267.9,E001076,AB
110005831,267.9,E001076,AB
110005831,-267.9,E001076,AB
Clearing Document 110005831,0.0,,
110005931,700.0,E001537,AB
Clearing Document 110005931,700.0,,
110005932,350.0,E001093,AB
Clearing Document 110005932,350.0,,
110005944,1435.0,E000624,AB
Clearing Document 110005944,1435.0,,
110005951,3250.0,E000609,AB
Clearing Document 110005951,3250.0,,
110005952,3250.0,E000706,AB
Clearing Document 110005952,3250.0,,
110006042,-24.0,E000889,AB
110006044,24.0,E000889,AB
110006045,24.0,E000889,AB
110006045,-24.0,E000889,AB
Clearing Document 110006045,0.0,,
110006249,1480.0,E000428,AB
Clearing Document 110006249,1480.0,,
110006448,10000.0,E001147,AB
Clearing Document 110006448,10000.0,,
110006455,650.0,E000517,AB
Clearing Document 110006455,650.0,,
110006457,5000.0,E001154,AB
Clearing Document 110006457,5000.0,,
110006499,-238.56,E001364,AB
110006500,238.56,E001364,AB
110006501,238.56,E001364,AB
110006501,-238.56,E001364,AB
Clearing Document 110006501,0.0,,
110006600,-665.6,E000480,AB
110006603,-747.65,E000480,AB
110006605,665.6,E000480,AB
110006606,747.65,E000480,AB
110006607,1413.25,E000480,AB
110006607,-1413.25,E000480,AB
Clearing Document 110006607,0.0,,
110006737,650.0,E001519,AB
Clearing Document 110006737,650.0,,
110006700,-53.0,E001420,AB
110006743,53.0,E001420,AB
110006744,53.0,E001420,AB
110006744,-53.0,E001420,AB
Clearing Document 110006744,0.0,,
110006717,-615.81,E000563,AB
110006746,615.81,E000563,AB
110006817,615.81,E000563,AB
110006817,-615.81,E000563,AB
Clearing Document 110006817,0.0,,
110006825,540.0,E000756,AB
Clearing Document 110006825,540.0,,
110006912,1050.0,E000624,AB
Clearing Document 110006912,1050.0,,
110006913,1050.0,E001537,AB
Clearing Document 110006913,1050.0,,
110006914,350.0,E001093,AB
Clearing Document 110006914,350.0,,
110007117,800.0,E000243,AB
Clearing Document 110007117,800.0,,
110007118,491.0,E001037,AB
Clearing Document 110007118,491.0,,
110007119,4388.0,E001037,AB
Clearing Document 110007119,4388.0,,
110007120,57.0,E001037,AB
Clearing Document 110007120,57.0,,
110007121,10113.0,E001037,AB
Clearing Document 110007121,10113.0,,
110007356,208.0,E001293,AB
Clearing Document 110007356,208.0,,
110007362,650.0,E001419,AB
Clearing Document 110007362,650.0,,
110007493,1127.5,E000617,AB
Clearing Document 110007493,1127.5,,
110007563,-661.14,E000638,AB
110007565,661.14,E000638,AB
110007566,661.14,E000638,AB
110007566,-661.14,E000638,AB
Clearing Document 110007566,0.0,,
110007587,400.0,E001035,AB
Clearing Document 110007587,400.0,,
110007588,397.0,E001037,AB
Clearing Document 110007588,397.0,,
110007593,650.0,E001519,AB
Clearing Document 110007593,650.0,,
110007634,650.0,E001062,AB
Clearing Document 110007634,650.0,,
110007704,2000.0,E001433,AB
Clearing Document 110007704,2000.0,,
110007801,1435.0,E000624,AB
Clearing Document 110007801,1435.0,,
110007802,350.0,E001093,AB
Clearing Document 110007802,350.0,,
110008342,482.0,E001037,AB
Clearing Document 110008342,482.0,,
110008460,600.0,E001356,AB
Clearing Document 110008460,600.0,,
110008461,11410.0,E001364,AB
Clearing Document 110008461,11410.0,,
110008408,-255.0,E001437,AB
110008494,255.0,E001437,AB
110008498,255.0,E001437,AB
110008498,-255.0,E001437,AB
Clearing Document 110008498,0.0,,
110008371,-44.0,E000382,AB
110008913,44.0,E000382,AB
110008915,44.0,E000382,AB
110008915,-44.0,E000382,AB
Clearing Document 110008915,0.0,,
110008372,-68.0,E000965,AB
110008916,68.0,E000965,AB
110008917,68.0,E000965,AB
110008917,-68.0,E000965,AB
Clearing Document 110008917,0.0,,
110008997,1500.0,E001433,AB
Clearing Document 110008997,1500.0,,
110009035,-85.0,E001081,AB
110009036,-85.0,E001081,AB
110009043,85.0,E001081,AB
110009044,85.0,E001081,AB
110009045,170.0,E001081,AB
110009045,-170.0,E001081,AB
Clearing Document 110009045,0.0,,
110008827,-1104.09,E001376,AB
110008828,-1522.0,E001376,AB
110009056,1522.0,E001376,AB
110009057,1104.09,E001376,AB
110009058,2626.09,E001376,AB
110009058,-2626.09,E001376,AB
Clearing Document 110009058,0.0,,
110009048,-1278.98,E001150,AB
110009140,1278.98,E001150,AB
110009141,1278.98,E001150,AB
110009141,-1278.98,E001150,AB
Clearing Document 110009141,0.0,,
110009208,700.0,E001059,AB
Clearing Document 110009208,700.0,,
110009209,1960.0,E000624,AB
Clearing Document 110009209,1960.0,,
110009210,1400.0,E001537,AB
Clearing Document 110009210,1400.0,,
110009409,2000.0,E001042,AB
Clearing Document 110009409,2000.0,,
110009664,208.0,E001293,AB
Clearing Document 110009664,208.0,,
110009706,-197.66,E001122,AB
110009707,197.66,E001122,AB
110009708,197.66,E001122,AB
110009708,-197.66,E001122,AB
Clearing Document 110009708,0.0,,
110009753,650.0,E000924,AB
Clearing Document 110009753,650.0,,
110009843,555.0,E001539,AB
Clearing Document 110009843,555.0,,
110009844,800.0,E000243,AB
Clearing Document 110009844,800.0,,
110009845,800.0,E000243,AB
Clearing Document 110009845,800.0,,
110009846,800.0,E000243,AB
Clearing Document 110009846,800.0,,
110009894,2050.0,E000921,AB
Clearing Document 110009894,2050.0,,
110009927,8000.0,E001117,AB
Clearing Document 110009927,8000.0,,
110009936,650.0,E000743,AB
Clearing Document 110009936,650.0,,
110009973,1000.0,E001197,AB
Clearing Document 110009973,1000.0,,
110010011,650.0,E001080,AB
Clearing Document 110010011,650.0,,
110010053,-56.96,E000276,AB
110010081,56.96,E000276,AB
110010082,56.96,E000276,AB
110010082,-56.96,E000276,AB
Clearing Document 110010082,0.0,,
110010094,-333.58,E001420,AB
110010095,333.58,E001420,AB
110010096,333.58,E001420,AB
110010096,-333.58,E001420,AB
Clearing Document 110010096,0.0,,
110010099,-224.0,E000264,AB
110010100,-208.0,E000264,AB
110010108,224.0,E000264,AB
110010109,208.0,E000264,AB
110010110,432.0,E000264,AB
110010110,-432.0,E000264,AB
Clearing Document 110010110,0.0,,
110010119,-202.8,E000965,AB
110010152,202.8,E000965,AB
110010153,202.8,E000965,AB
110010153,-202.8,E000965,AB
Clearing Document 110010153,0.0,,
110006456,1050.0,E000370,AB
110010178,-1050.0,E000370,AB
Clearing Document 110010178,0.0,,
110010206,-276.76,E000398,AB
110010211,276.76,E000398,AB
110010213,276.76,E000398,AB
110010213,-276.76,E000398,AB
Clearing Document 110010213,0.0,,
110010214,1260.0,E000624,AB
Clearing Document 110010214,1260.0,,
110010215,875.0,E001059,AB
Clearing Document 110010215,875.0,,
110010247,800.0,E000243,AB
Clearing Document 110010247,800.0,,
110010248,1000.0,E001042,AB
Clearing Document 110010248,1000.0,,
110010249,3500.0,E001204,AB
Clearing Document 110010249,3500.0,,
110010257,650.0,E000517,AB
Clearing Document 110010257,650.0,,
110010265,650.0,E001062,AB
Clearing Document 110010265,650.0,,
110010302,-830.26,E000437,AB
110010303,-567.0,E000437,AB
110010304,830.26,E000437,AB
110010305,567.0,E000437,AB
110010306,1397.26,E000437,AB
110010306,-1397.26,E000437,AB
Clearing Document 110010306,0.0,,
110010182,-350.9,E000391,AB
110010316,350.9,E000391,AB
110010317,350.9,E000391,AB
110010317,-350.9,E000391,AB
Clearing Document 110010317,0.0,,
110010321,-593.55,E000480,AB
110010347,593.55,E000480,AB
110010348,593.55,E000480,AB
