Reference,Document Number,Posting Date,Amount in local currency,Funds Center,G/L Account,Text,Document Header Text
0002002834,110007020.0,2025-08-05,-254.0,10200005.0,A73101,*Trip from 29.07.25 To  31.07.25 to   DAERAH KUALA,TR0000072602
0002002838,110007021.0,2025-08-05,-254.0,10200005.0,A73101,*Trip from 29.07.25 To  31.07.25 to   KUALA SELANG,TR0000072604
0002002837,110007022.0,2025-08-05,-254.0,10200005.0,A73101,*Trip from 29.07.25 To  31.07.25 to   DAERAH KUALA,TR0000072606
0002002817,110007023.0,2025-08-05,-254.0,10200005.0,A73101,*Trip from 29.07.25 To  31.07.25 to   DAERAH KUALA,TR0000072608
0002002835,110007024.0,2025-08-05,-254.0,10200005.0,A73101,*Trip from 29.07.25 To  31.07.25 to   DAERAH KUALA,TR0000072610
0002002859,110007026.0,2025-08-05,-254.0,10200005.0,A73101,*Trip from 29.07.25 To  31.07.25 to   DAERAH KUALA,TR0000072614
0002002832,110007030.0,2025-08-05,-116.0,10200005.0,A73101,*Trip from 28.07.25 To  29.07.25 to   DAERAH KUALA,TR0000072622
0002002809,110007032.0,2025-08-05,-116.0,10200005.0,A73101,*Trip from 28.07.25 To  29.07.25 to   DAERAH KUALA,TR0000072624
0002002858,110007033.0,2025-08-05,-116.0,10200005.0,A73101,*Trip from 28.07.25 To  29.07.25 to   DAERAH KUALA,TR0000072626
0002002833,110007037.0,2025-08-05,-116.0,10200005.0,A73101,*Trip from 28.07.25 To  29.07.25 to   DAERAH KUALA,TR0000072635
0002002816,110007038.0,2025-08-05,-116.0,10200005.0,A73101,*Trip from 28.07.25 To  29.07.25 to   DAERAH KUALA,TR0000072637
0002002836,110007039.0,2025-08-05,-116.0,10200005.0,A73101,*Trip from 28.07.25 To  29.07.25 to   DAERAH KUALA,TR0000072639
0002002841,110007040.0,2025-08-05,-116.0,10200005.0,A73101,*Trip from 28.07.25 To  29.07.25 to   DAERAH KUALA,TR0000072641
0002002840,110007041.0,2025-08-05,-116.0,10200005.0,A73101,*Trip from 28.07.25 To  29.07.25 to   DAERAH KUALA,TR0000072643
0002002825,110007042.0,2025-08-05,-266.0,10200005.0,A73101,*Trip from 29.07.25 To  31.07.25 to   DAERAH KUALA,TR0000072645
0002002824,110007043.0,2025-08-05,-124.0,10200005.0,A73101,*Trip from 28.07.25 To  29.07.25 to   DAERAH KUALA,TR0000072647
0006000229,110007047.0,2025-08-05,630.0,10120002.0,A73101,*Req.from  07.08.25 To  10.08.25 to   CIDB TERENGG,TR0000072649
0002002899,110007048.0,2025-08-05,500.0,10130003.0,A73101,*Req.from  11.08.25 To  13.08.25 to   CIDB Cawanga,TR0000072651
0002002902,110007049.0,2025-08-05,500.0,10130003.0,A73101,*Req.from  11.08.25 To  13.08.25 to   Pejabat CIDB,TR0000072653
0004000297,110007050.0,2025-08-05,250.0,10170003.0,A73101,*Req.from  13.08.25 To  14.08.25 to   Kota Kinabal,TR0000072655
0002003153,110007051.0,2025-08-05,500.0,10130003.0,A73101,*Req.from  18.08.25 To  20.08.25 to   CIDB MIRI,TR0000072657
0002003155,110007053.0,2025-08-05,500.0,10130003.0,A73101,*Req.from  18.08.25 To  20.08.25 to   CIDB MIRI,TR0000072659
0002003161,110007054.0,2025-08-05,500.0,10130003.0,A73101,*Req.from  18.08.25 To  20.08.25 to   CIDB Negeri,TR0000072661
0002003157,110007055.0,2025-08-05,500.0,10130003.0,A73101,*Req.from  18.08.25 To  20.08.25 to   CIDB Sabah,TR0000072663
0005000925,110007056.0,2025-08-05,600.0,10120004.0,A73101,*Req.from  21.08.25 To  24.08.25 to   Kota Kinabal,TR0000072665
0002002739,110007072.0,2025-08-05,-470.0,10130003.0,A73101,*Req.from  21.07.25 To  23.07.25 to   CIDB PULAU P,TR0000072681
0002002741,110007079.0,2025-08-05,-400.0,10130003.0,A73101,*Trip from 21.07.25 To  23.07.25 to   CIDB Pulau P,TR0000072685
0002003145,110007108.0,2025-08-06,1000.0,10200020.0,A73101,*Req.from  11.08.25 To  15.08.25 to   Sematan,TR0000072711
0002003152,110007109.0,2025-08-06,950.0,10200020.0,A73101,*Req.from  11.08.25 To  15.08.25 to   SEMATAN,TR0000072713
0002003150,110007110.0,2025-08-06,1000.0,10200020.0,A73101,*Req.from  11.08.25 To  15.08.25 to   Sematan,TR0000072715
0002003192,110007116.0,2025-08-07,720.0,10200022.0,A73101,"*Req.from  10.08.25 To  14.08.25 to   THE MET, KUA",TR0000072717
0006000218,110007177.0,2025-08-07,160.0,10120001.0,A73101,*Req.from  11.08.25 To  12.08.25 to   Kuala Tereng,TR0000072769
0008000369,110007178.0,2025-08-07,500.0,10150009.0,A73101,*Req.from  13.08.25 To  15.08.25 to   Kuching & Mi,TR0000072771
0005000940,110007179.0,2025-08-07,500.0,10120004.0,A73101,*Req.from  18.08.25 To  21.08.25 to   CIDB KELANTA,TR0000072773
0005000939,110007180.0,2025-08-07,500.0,10120004.0,A73101,*Req.from  18.08.25 To  21.08.25 to   CIDB KELANTA,TR0000072775
0002002752,110007189.0,2025-08-07,-160.0,10200009.0,A73101,*Trip from 28.07.25 To  29.07.25 to   Hotel Kateri,TR0000072785
0002003179,110007195.0,2025-08-08,800.0,10200021.0,A73101,*Req.from  11.08.25 To  15.08.25 to   WPKL,TR0000072789
0006000122,110007248.0,2025-08-11,-700.0,10120003.0,A73101,*Trip from 02.06.25 To  06.06.25 to   CIDB KELANTA,TR0000072827
0002002803,110007284.0,2025-08-11,-500.0,10130001.0,A73101,"*Trip from 29.07.25 To  01.08.25 to   Kuching, Sar",TR0000072859
0008000360,110007285.0,2025-08-12,200.0,10150008.0,A73101,*Req.from  13.08.25 To  15.08.25 to   PEJABAT CIDB,TR0000072861
0001000280,110007286.0,2025-08-12,432.0,10110004.0,A73101,*Req.from  12.08.25 To  14.08.25 to   CIDB Negeri,TR0000072863
0002003213,110007293.0,2025-08-12,580.0,10200005.0,A73101,*Req.from  25.08.25 To  29.08.25 to   KUALA LUMPUR,TR0000072879
0002003200,110007297.0,2025-08-12,580.0,10200005.0,A73101,*Req.from  25.08.25 To  29.08.25 to   Kuala Lumpur,TR0000072883
0002003214,110007298.0,2025-08-12,580.0,10200005.0,A73101,*Req.from  25.08.25 To  29.08.25 to   KUALA LUMPUR,TR0000072885
0002002853,110007299.0,2025-08-12,-254.0,10200005.0,A73101,*Trip from 29.07.25 To  31.07.25 to   DAERAH KUALA,TR0000072887
0002002852,110007300.0,2025-08-12,-116.0,10200005.0,A73101,*Trip from 28.07.25 To  29.07.25 to   DAERAH KUALA,TR0000072889
0002002854,110007301.0,2025-08-12,-254.0,10200005.0,A73101,*Trip from 29.07.25 To  31.07.25 to   DAERAH KUALA,TR0000072891
0002003135,110007311.0,2025-08-12,-198.0,10200002.0,A73101,"*Trip from 06.08.25 To  07.08.25 to   KULIM, KEDAH",TR0000072911
0006000102,110007315.0,2025-08-12,-600.0,10120003.0,A73101,*Trip from 12.05.25 To  15.05.25 to   CIDB TERENGG,TR0000072919
0004000252,110007339.0,2025-08-12,-500.0,10170004.0,A73101,*Trip from 29.07.25 To  01.08.25 to   Kota Kinabal,TR0000072956
0002003116,110007360.0,2025-08-13,-920.0,10200020.0,A73101,*Trip from 03.08.25 To  07.08.25 to   Kuala Lumpur,TR0000072968
0002002607,110007364.0,2025-08-13,-400.0,10200011.0,A73101,*Trip from 17.07.25 To  19.07.25 to   MARANG,TR0000072970
0002003076,110007390.0,2025-08-13,-500.0,10200010.0,A73101,*Trip from 05.08.25 To  08.08.25 to   JOHOR,TR0000072979
0002003245,110007393.0,2025-08-13,700.0,10130007.0,A73101,*Req.from  14.08.25 To  17.08.25 to   Bangkok,TR0000072980
0002002537,110007394.0,2025-08-13,-600.0,10200002.0,A73101,*Trip from 13.07.25 To  17.07.25 to   DAERAH KULIM,TR0000072982
0005000960,110007395.0,2025-08-13,500.0,10120004.0,A73101,*Req.from  18.08.25 To  21.08.25 to   Pejabat CIDB,TR0000072984
0008000357,110007397.0,2025-08-13,400.0,10150009.0,A73101,*Req.from  27.08.25 To  29.08.25 to   HOTEL SERI M,TR0000072992
0008000303,110007413.0,2025-08-13,-800.0,10150009.0,A73101,*Trip from 14.07.25 To  19.07.25 to   DHAKA,TR0000073014
0002003317,110007428.0,2025-08-14,250.0,10200007.0,A73101,"*Req.from  19.08.25 To  21.08.25 to   Johor Bahru,",TR0000073028
0002003248,110007430.0,2025-08-14,600.0,10200009.0,A73101,*Req.from  08.09.25 To  11.09.25 to   CIDB HQ,TR0000073030
0002003035,110007435.0,2025-08-14,-648.0,10200010.0,A73101,"*Trip from 10.08.25 To  13.08.25 to   IBU PEJABAT,",TR0000073036
0002003039,110007453.0,2025-08-15,-300.0,10200030.0,A73101,*Trip from 04.08.25 To  07.08.25 to   Keningau,TR0000073067
0002003270,110007458.0,2025-08-15,900.0,10200030.0,A73101,*Req.from  18.08.25 To  22.08.25 to   KENINGAU,TR0000073073
0002003269,110007459.0,2025-08-15,900.0,10200030.0,A73101,*Req.from  18.08.25 To  22.08.25 to   Keningau,TR0000073075
0006000256,110007465.0,2025-08-15,432.0,10120001.0,A73101,*Req.from  17.08.25 To  19.08.25 to   Melaka,TR0000073081
0006000229,110007476.0,2025-08-15,-630.0,10120002.0,A73101,*Trip from 07.08.25 To  10.08.25 to   CIDB TERENGG,TR0000073093
0006000244,110007490.0,2025-08-15,396.0,10110001.0,A73101,*Req.from  17.08.25 To  19.08.25 to   melaka,TR0000073114
0008000377,110007491.0,2025-08-15,300.0,10150008.0,A73101,*Req.from  20.08.25 To  23.08.25 to   Kota Kinabal,TR0000073116
0005000974,110007492.0,2025-08-15,400.0,10120004.0,A73101,*Req.from  28.08.25 To  30.08.25 to   Kota Kinabal,TR0000073118
0002003192,110007494.0,2025-08-18,-720.0,10200022.0,A73101,"*Trip from 10.08.25 To  14.08.25 to   THE MET, KUA",TR0000073120
0002003376,110007501.0,2025-04-18,600.0,10200010.0,A73101,*Req.from  26.08.25 To  29.08.25 to   KUALA LUMPUR,TR0000073133
0002003363,110007507.0,2025-08-18,550.0,10200010.0,A73101,*Req.from  25.08.25 To  28.08.25 to   bentong,TR0000073146
0002003364,110007508.0,2025-08-18,550.0,10200010.0,A73101,"*Req.from  25.08.25 To  28.08.25 to   BENTONG, PAH",TR0000073146
0002003350,110007509.0,2025-08-18,600.0,10200010.0,A73101,*Req.from  25.08.25 To  28.08.25 to   Daerah Bento,TR0000073146
0002003362,110007510.0,2025-08-18,550.0,10200010.0,A73101,*Req.from  25.08.25 To  28.08.25 to   Bentong,TR0000073146
0002003358,110007511.0,2025-08-18,300.0,10200010.0,A73101,*Req.from  25.08.25 To  27.08.25 to   ROYALE CHULA,TR0000073146
0002002530,110007548.0,2025-08-19,-500.0,10200001.0,A73101,"*Trip from 04.08.25 To  08.08.25 to   HEBEI, CHINA",TR0000073192
0002003457,110007557.0,2025-08-19,700.0,10200030.0,A73101,*Req.from  26.08.25 To  30.08.25 to   IBU PEJABAT,TR0000073210
0002002911,110007567.0,2025-08-19,-400.0,10200032.0,A73101,*Trip from 28.07.25 To  30.07.25 to   KOTA KINABAL,TR0000073224
0002002905,110007568.0,2025-08-19,-400.0,10200032.0,A73101,*Trip from 28.07.25 To  30.07.25 to   KOTA KINABAL,TR0000073226
0006000247,110007569.0,2025-08-19,500.0,10120002.0,A73101,*Req.from  20.08.25 To  22.08.25 to   kota kinabal,TR0000073228
0002003454,110007571.0,2025-08-19,550.0,10200010.0,A73101,*Req.from  25.08.25 To  28.08.25 to   Bentong,TR0000073236
0002003097,110007617.0,2025-08-20,-800.0,10200030.0,A73101,*Trip from 03.08.25 To  07.08.25 to   Kuala Lumpur,TR0000073278
0002003107,110007619.0,2025-08-20,-800.0,10200030.0,A73101,*Trip from 03.08.25 To  07.08.25 to   KUALA LUMPUR,TR0000073282
0004000249,110007671.0,2025-08-20,-700.0,10170004.0,A73101,*Trip from 29.07.25 To  01.08.25 to   kota kinabal,TR0000073334
0008000393,110007679.0,2025-08-20,1560.0,10150009.0,A73101,"*Req.from  23.08.25 To  31.08.25 to   manila, phil",TR0000073352
0002003464,110007696.0,2025-08-21,400.0,10200021.0,A73101,*Req.from  24.08.25 To  26.08.25 to   KUCHING,TR0000073374
0002003424,110007700.0,2025-08-21,500.0,10200005.0,A73101,*Req.from  25.08.25 To  28.08.25 to   KEDAH,TR0000073378
0002003407,110007701.0,2025-08-21,500.0,10200005.0,A73101,*Req.from  25.08.25 To  28.08.25 to   KEDAH,TR0000073380
0002003406,110007702.0,2025-08-21,500.0,10200005.0,A73101,*Req.from  25.08.25 To  28.08.25 to   KEDAH,TR0000073382
0002003473,110007703.0,2025-08-21,828.0,10200022.0,A73101,*Req.from  26.08.25 To  30.08.25 to   KUCHING,TR0000073384
0006000218,110007720.0,2025-08-21,-160.0,10120001.0,A73101,*Trip from 11.08.25 To  12.08.25 to   Kuala Tereng,TR0000073404
0002003505,110007721.0,2025-08-21,432.0,10200001.0,A73101,*Req.from  25.08.25 To  27.08.25 to   DAERAH KULIM,TR0000073406
0002002902,110007722.0,2025-08-21,-500.0,10130003.0,A73101,*Trip from 11.08.25 To  13.08.25 to   Pejabat CIDB,TR0000073408
0002002899,110007723.0,2025-08-21,-500.0,10130003.0,A73101,*Trip from 11.08.25 To  13.08.25 to   CIDB Cawanga,TR0000073410
0002003522,110007729.0,2025-08-21,700.0,10200021.0,A73101,*Req.from  26.08.25 To  30.08.25 to   Kuching,TR0000073416
0002003517,110007730.0,2025-08-21,600.0,10200021.0,A73101,*Req.from  26.08.25 To  29.08.25 to   KUCHING,TR0000073418
0005000990,110007737.0,2025-08-21,500.0,10120004.0,A73101,*Req.from  24.08.25 To  27.08.25 to   Jakarta,TR0000073420
0003000109,110007764.0,2025-08-22,-567.0,10140008.0,A73101,*Trip from 30.06.25 To  02.07.25 to   Pejabat CIDB,TR0000073462
0003000208,110007779.0,2025-08-22,500.0,10140008.0,A73101,"*Req.from  24.08.25 To  28.08.25 to   Jakarta, Ind",TR0000073487
0002003152,110007781.0,2025-08-22,-950.0,10200020.0,A73101,*Trip from 11.08.25 To  15.08.25 to   SEMATAN,TR0000073489
0002003476,110007785.0,2025-08-24,220.0,10200011.0,A73101,*Req.from  25.08.25 To  27.08.25 to   Daerah Bento,TR0000073491
0002003484,110007786.0,2025-08-24,220.0,10200011.0,A73101,"*Req.from  25.08.25 To  27.08.25 to   Bentong, Pah",TR0000073493
0002003519,110007787.0,2025-08-24,198.0,10200002.0,A73101,*Req.from  25.08.25 To  27.08.25 to   HOTEL ROYALE,TR0000073495
0002003120,110007791.0,2025-08-25,-840.0,10200020.0,A73101,*Trip from 03.08.25 To  07.08.25 to   FALCON SAFET,TR0000073503
0005000921,110007798.0,2025-08-25,-454.0,10120004.0,A73101,*Trip from 05.08.25 To  07.08.25 to   Johor Bahru,TR0000073511
0002003531,110007846.0,2025-08-26,477.0,10130001.0,A73101,*Req.from  25.08.25 To  27.08.25 to   CIDB Negeri,TR0000073575
0002003268,110007848.0,2025-08-26,1000.0,10130001.0,A73101,*Req.from  08.09.25 To  12.09.25 to   Kapit Sarawa,TR0000073579
0001000340,110007872.0,2025-08-27,1500.0,10110001.0,A73101,*Req.from  31.08.25 To  10.09.25 to   London,TR0000073593
0005000940,110007875.0,2025-08-27,-500.0,10120004.0,A73101,*Trip from 18.08.25 To  21.08.25 to   CIDB KELANTA,TR0000073599
0002003662,110007879.0,2025-08-27,400.0,10200032.0,A73101,*Req.from  28.08.25 To  01.09.25 to   kota kinabal,TR0000073605
0006000244,110007881.0,2025-08-27,-396.0,10110001.0,A73101,*Trip from 17.08.25 To  19.08.25 to   melaka,TR0000073614
0005000939,110007882.0,2025-08-27,-500.0,10120004.0,A73101,*Trip from 18.08.25 To  21.08.25 to   CIDB KELANTA,TR0000073616
0004000240,110007884.0,2025-08-27,-500.0,10170004.0,A73101,*Trip from 29.07.25 To  01.08.25 to   Kota Kinabal,TR0000073618
0002002780,110007886.0,2025-08-27,-1800.0,10130007.0,A73101,"*Trip from 23.07.25 To  31.07.25 to   Guangdong, C",TR0000073622
0002003157,110007912.0,2025-08-27,-500.0,10130003.0,A73101,*Trip from 18.08.25 To  20.08.25 to   CIDB Sabah,TR0000073648
0002003161,110007913.0,2025-08-27,-500.0,10130003.0,A73101,*Trip from 18.08.25 To  20.08.25 to   CIDB Negeri,TR0000073650
0002003145,110007953.0,2025-08-28,-1000.0,10200020.0,A73101,*Trip from 11.08.25 To  15.08.25 to   Sematan,TR0000073678
0002003670,110007958.0,2025-08-28,500.0,10200032.0,A73101,*Req.from  29.08.25 To  31.08.25 to   BERINGGIS PA,TR0000073684
0002003702,110007959.0,2025-08-29,1200.0,10200021.0,A73101,*Req.from  31.08.25 To  07.09.25 to   Kuching,TR0000073686
0002003703,110007960.0,2025-08-29,1200.0,10200021.0,A73101,*Req.from  31.08.25 To  07.09.25 to   kuching,TR0000073688
0002003686,110007968.0,2025-08-29,800.0,10130007.0,A73101,"*Trip from 01.09.25 To  05.09.25 to   milan, itali",TR0000073702
0002003709,110007971.0,2025-08-29,400.0,10200023.0,A73101,*Req.from  02.09.25 To  05.09.25 to   KUCHING,TR0000073704
0002003710,110007972.0,2025-08-29,400.0,10200023.0,A73101,"*Req.from  02.09.25 To  05.09.25 to   Kuching, Sar",TR0000073706
0004000376,110007976.0,2025-08-29,1500.0,10170003.0,A73101,*Req.from  06.09.25 To  14.09.25 to   Turkiye & Je,TR0000073707
0002003626,110007977.0,2025-08-29,150.0,10130001.0,A73101,*Req.from  08.09.25 To  09.09.25 to   KELANTAN,TR0000073708
0008000357,110007994.0,2025-09-02,-400.0,10150009.0,A73101,*Trip from 27.08.25 To  29.08.25 to   HOTEL SERI M,TR0000073725
0002002925,110008002.0,2025-09-02,-600.0,10200022.0,A73101,"*Trip from 29.07.25 To  01.08.25 to   Kuching, Sar",TR0000073737
0002003505,110008004.0,2025-09-02,-432.0,10200001.0,A73101,*Trip from 25.08.25 To  27.08.25 to   DAERAH KULIM,TR0000073742
0002003684,110008015.0,2025-09-02,675.0,10200022.0,A73101,"*Req.from  02.09.25 To  06.09.25 to   Kuching, Sar",TR0000073753
0002003376,110008034.0,2025-09-03,-600.0,10200010.0,A73101,*Trip from 26.08.25 To  29.08.25 to   KUALA LUMPUR,TR0000073773
0002003741,110008067.0,2025-09-03,430.0,10130003.0,A73101,*Req.from  08.09.25 To  10.09.25 to   CIDB Perak,TR0000073833
0002003742,110008068.0,2025-09-03,430.0,10130003.0,A73101,*Req.from  08.09.25 To  10.09.25 to   CIDB Negeri,TR0000073835
0002003753,110008069.0,2025-09-03,400.0,10130003.0,A73101,*Req.from  08.09.25 To  10.09.25 to   CIDB Perak,TR0000073837
0008000451,110008071.0,2025-09-03,230.0,10150009.0,A73101,"*Req.from  07.09.25 To  08.09.25 to   UTHM & UTM,",TR0000073841
0002003150,110008082.0,2025-09-03,-1000.0,10200020.0,A73101,*Trip from 11.08.25 To  15.08.25 to   Sematan,TR0000073854
0002003454,110008097.0,2025-09-03,-550.0,10200010.0,A73101,*Trip from 25.08.25 To  28.08.25 to   Bentong,TR0000073869
0002003362,110008098.0,2025-09-03,-550.0,10200010.0,A73101,*Trip from 25.08.25 To  28.08.25 to   GENTING HIGH,TR0000073869
0002003358,110008108.0,2025-09-03,-300.0,10200010.0,A73101,*Trip from 25.08.25 To  27.08.25 to   ROYALE CHULA,TR0000073869
0002003364,110008130.0,2025-09-04,-550.0,10200010.0,A73101,"*Trip from 25.08.25 To  28.08.25 to   BENTONG, PAH",TR0000073907
0002003772,110008133.0,2025-09-04,320.0,10200010.0,A73101,*Req.from  08.09.25 To  10.09.25 to   PERAK,TR0000073913
0002003363,110008136.0,2025-09-04,-550.0,10200010.0,A73101,*Req.from  25.08.25 To  28.08.25 to   bentong,TR0000073919
0008000360,110008137.0,2025-09-04,-200.0,10150008.0,A73101,*Trip from 13.08.25 To  15.08.25 to   PEJABAT CIDB,TR0000073921
0002003350,110008159.0,2025-09-04,-600.0,10200010.0,A73101,*Trip from 25.08.25 To  28.08.25 to   Daerah Bento,TR0000073951
0005000863,110008162.0,2025-09-04,-300.0,10160003.0,A73101,*Trip from 27.07.25 To  30.07.25 to   ADYA HOTEL L,TR0000073957
0008000369,110008164.0,2025-09-04,-500.0,10150009.0,A73101,*Trip from 13.08.25 To  15.08.25 to   Kuching & Mi,TR0000073961
0006000293,110008175.0,2025-09-04,500.0,10120002.0,A73101,*Req.from  08.09.25 To  10.09.25 to   cidb miri,TR0000073975
0004000388,110008176.0,2025-09-04,150.0,10170003.0,A73101,"*Req.from  19.09.25 To  21.09.25 to   Adya Hotel,",TR0000073977
0005000960,110008177.0,2025-09-04,-500.0,10120004.0,A73101,*Trip from 18.08.25 To  21.08.25 to   Pejabat CIDB,TR0000073979
0002003270,110008180.0,2025-09-04,-900.0,10200030.0,A73101,*Trip from 18.08.25 To  22.08.25 to   KENINGAU,TR0000073983
0002003269,110008184.0,2025-09-04,-900.0,10200030.0,A73101,*Trip from 18.08.25 To  22.08.25 to   Keningau,TR0000073991
0006000256,110008188.0,2025-09-04,-432.0,10120001.0,A73101,*Trip from 17.08.25 To  19.08.25 to   Melaka,TR0000073995
0002003153,110008197.0,2025-09-04,-500.0,10130003.0,A73101,*Trip from 18.08.25 To  20.08.25 to   CIDB MIRI,TR0000074015
0002003733,110008199.0,2025-09-04,100.0,10200010.0,A73101,*Req.from  08.09.25 To  10.09.25 to   CIDB Perak,TR0000074019
0002003476,110008225.0,2025-09-08,-220.0,10200011.0,A73101,*Trip from 25.08.25 To  27.08.25 to   Daerah Bento,TR0000074050
0002003484,110008230.0,2025-09-08,-220.0,10200011.0,A73101,"*Trip from 25.08.25 To  27.08.25 to   Bentong, Pah",TR0000074058
0002003200,110008262.0,2025-09-08,-580.0,10200005.0,A73101,*Trip from 25.08.25 To  29.08.25 to   Kuala Lumpur,TR0000074096
0002003213,110008263.0,2025-09-08,-580.0,10200005.0,A73101,*Trip from 25.08.25 To  29.08.25 to   KUALA LUMPUR,TR0000074098
0002003214,110008264.0,2025-09-08,-580.0,10200005.0,A73101,*Trip from 25.08.25 To  29.08.25 to   KUALA LUMPUR,TR0000074100
0002003317,110008288.0,2025-09-08,-250.0,10200007.0,A73101,"*Trip from 19.08.25 To  21.08.25 to   Johor Bahru,",TR0000074136
0002003832,110008303.0,2025-09-09,648.0,10200001.0,A73101,*Req.from  16.09.25 To  19.09.25 to   IBU PEJABAT,TR0000074156
0006000247,110008322.0,2025-09-09,-500.0,10120002.0,A73101,*Trip from 20.08.25 To  22.08.25 to   kota kinabal,TR0000074184
0002003662,110008337.0,2025-09-09,-400.0,10200032.0,A73101,*Trip from 28.08.25 To  31.08.25 to   kota kinabal,TR0000074206
0002003519,110008339.0,2025-09-09,-198.0,10200002.0,A73101,*Trip from 25.08.25 To  27.08.25 to   HOTEL ROYALE,TR0000074210
0002003670,110008354.0,2025-09-10,-500.0,10200032.0,A73101,*Trip from 28.08.25 To  31.08.25 to   BERINGGIS PA,TR0000074228
0002003848,110008363.0,2025-09-10,380.0,10200004.0,A73101,*Req.from  24.09.25 To  26.09.25 to   sekitar nege,TR0000074238
0002003849,110008364.0,2025-09-10,800.0,10200004.0,A73101,*Req.from  22.09.25 To  26.09.25 to   SEKITAR NEGE,TR0000074240
0002003531,110008373.0,2025-09-10,-477.0,10130001.0,A73101,*Trip from 25.08.25 To  27.08.25 to   CIDB Negeri,TR0000074258
0008000453,110008392.0,2025-09-10,648.0,10150009.0,A73101,*Req.from  16.09.25 To  19.09.25 to   JOHOR BAHRU,TR0000074268
0002003457,110008410.0,2025-09-11,-700.0,10200030.0,A73101,*Trip from 26.08.25 To  30.08.25 to   IBU PEJABAT,TR0000074278
0002003855,110008436.0,2025-09-11,380.0,10200004.0,A73101,*Req.from  24.09.25 To  26.09.25 to   TELUK INTAN,TR0000074313
0002003462,110008444.0,2025-09-11,800.0,10200032.0,A73101,*Req.from  13.09.25 To  20.09.25 to   KUALA LUMPUR,TR0000074321
0003000221,110008459.0,2025-09-11,500.0,10140008.0,A73101,"*Req.from  14.09.25 To  19.09.25 to   Dili, Timor-",TR0000074335
0002003473,110008476.0,2025-09-12,-828.0,10200022.0,A73101,*Trip from 26.08.25 To  30.08.25 to   KUCHING,TR0000074346
0002003248,110008477.0,2025-09-12,-600.0,10200009.0,A73101,*Trip from 08.09.25 To  11.09.25 to   CIDB HQ,TR0000074348
0002003833,110008478.0,2025-09-12,500.0,10200010.0,A73101,"*Req.from  20.09.25 To  26.09.25 to   CHAOZHOU, GU",TR0000074350
0002003879,110008487.0,2025-09-12,500.0,10200009.0,A73101,*Req.from  16.09.25 To  19.09.25,TR0000074358
0002003860,110008496.0,2025-09-12,350.0,10200005.0,A73101,*Req.from  23.09.25 To  25.09.25 to   JOHOR BAHRU,TR0000074366
0002003862,110008497.0,2025-09-12,350.0,10200005.0,A73101,"*Req.from  23.09.25 To  25.09.25 to   Johor Bahru,",TR0000074368
0004000297,110008523.0,2025-09-17,-250.0,10170003.0,A73101,*Trip from 13.08.25 To  14.08.25 to   Kota Kinabal,TR0000074408
0002003741,110008580.0,2025-09-18,-430.0,10130003.0,A73101,*Trip from 08.09.25 To  10.09.25 to   CIDB Perak,TR0000074449
0005000925,110008586.0,2025-09-18,-600.0,10120004.0,A73101,*Req.from  21.08.25 To  24.08.25 to   Kota Kinabal,TR0000074453
0002003155,110008589.0,2025-09-18,-500.0,10130003.0,A73101,*Trip from 18.08.25 To  20.08.25 to   CIDB MIRI,TR0000074455
0002003753,110008590.0,2025-09-18,-400.0,10130003.0,A73101,*Trip from 08.09.25 To  10.09.25 to   CIDB Perak,TR0000074455
0002003742,110008591.0,2025-09-18,-430.0,10130003.0,A73101,*Trip from 08.09.25 To  10.09.25 to   CIDB Negeri,TR0000074457
0004000253,110008607.0,2025-09-18,-800.0,10170004.0,A73101,*Trip from 29.07.25 To  01.08.25 to   KOTA KINABAL,TR0000074482
0002003626,110008610.0,2025-09-18,-150.0,10130001.0,A73101,*Trip from 08.09.25 To  09.09.25 to   KELANTAN,TR0000074484
0002003407,110008629.0,2025-09-19,-500.0,10200005.0,A73101,*Trip from 25.08.25 To  28.08.25 to   KEDAH,TR0000074496
0002003424,110008630.0,2025-09-19,-500.0,10200005.0,A73101,*Trip from 25.08.25 To  28.08.25 to   KEDAH,TR0000074498
0002003406,110008631.0,2025-09-19,-500.0,10200005.0,A73101,*Trip from 25.08.25 To  28.08.25 to   KEDAH,TR0000074500
0002003931,110008632.0,2025-09-19,300.0,10200005.0,A73101,*Req.from  22.09.25 To  24.09.25 to   DAerah Hulu,TR0000074502
0002003932,110008633.0,2025-09-19,280.0,10200005.0,A73101,*Req.from  22.09.25 To  24.09.25 to   DAERAH HULU,TR0000074504
0002003951,110008634.0,2025-09-19,300.0,10200005.0,A73101,*Req.from  22.09.25 To  24.09.25 to   DAERAH HULU,TR0000074506
0002003945,110008635.0,2025-09-19,300.0,10200005.0,A73101,*Req.from  22.09.25 To  24.09.25 to   DAERAH HULU,TR0000074508
0002003937,110008636.0,2025-09-19,300.0,10200005.0,A73101,*Req.from  22.09.25 To  24.09.25 to   DAERAH HULU,TR0000074510
0002003941,110008637.0,2025-09-19,300.0,10200005.0,A73101,*Req.from  22.09.25 To  24.09.25 to   Daerah Hulu,TR0000074512
0002003942,110008638.0,2025-09-19,300.0,10200005.0,A73101,*Req.from  22.09.25 To  24.09.25 to   DAERAH HULU,TR0000074514
0002003930,110008639.0,2025-09-19,300.0,10200005.0,A73101,*Req.from  22.09.25 To  24.09.25 to   DAERAH HULU,TR0000074516
